landslide_id,longitude,latitude,utm_x,utm_y,label
LS_00665,80.81823938914707,7.509019851684569,479946.8627137925,830024.0237082775,1
LS_00668,80.81822766198053,7.500040054321289,479945.15755608375,829031.3119394588,1
LS_00669,80.82372177668981,7.504903793334961,480551.5381054121,829568.7485351551,1
LS_00674,80.82993638515472,7.506071090698242,481237.2367953876,829697.5219604982,1
LS_00677,80.80878591092343,7.49390417722813,478903.1553052028,828353.436114569,1
LS_00681,80.81592750549316,7.493194580078125,479691.0645091917,828274.6539656377,1
LS_00682,80.8214943408966,7.483427047729492,480304.8235638499,827194.6054823867,1
LS_00684,80.81303024291992,7.486446380615234,479371.08769002213,827528.7790055235,1
LS_00687,80.8085527420044,7.481807708740234,478876.84715561965,827016.1888055335,1
LS_00689,80.79803085327148,7.479486465454102,477715.802153202,826760.0954387948,1
LS_00691,80.79240290348585,7.482621484710473,477095.0050947253,827106.9593698047,1
LS_00694,80.78815786043802,7.476295471191406,476626.2943501726,826407.8444254862,1
LS_00696,80.79643499034725,7.466485977172852,477539.05832923617,825322.9790533873,1
LS_00697,80.82017103830972,7.470369338989258,480158.228769082,825751.1434430681,1
LS_00700,80.76127580495981,7.486162185668945,473660.825639849,827500.1251789309,1
LS_00701,80.77071088903091,7.47163200378418,474700.9962822658,825893.2637954495,1
LS_00704,80.77006459236145,7.482839584350586,474630.3327224017,827132.2957387379,1
LS_00707,80.80989289283752,7.438129425048828,479022.6318576265,822187.5188264177,1
LS_00709,80.80184719779274,7.438518524169922,478134.8455478299,822230.9228719302,1
LS_00713,80.79052543640137,7.440807342529297,476885.66124165436,822484.5256516003,1
LS_00714,80.78897308795482,7.457703459927811,476715.2595009757,824352.4632694062,1
LS_00719,80.74896621887936,7.480589710315995,472302.3113919637,826884.8448291958,1
LS_00721,80.76075204213461,7.494974136352539,473603.56723988696,828474.316394276,1
LS_00723,80.75172935527999,7.498182347332937,472608.28100385226,828829.5363984858,1
LS_00724,80.75132751464844,7.504810333251953,472564.3608018142,829562.285187264,1
LS_00725,80.73015766143799,7.513053894042969,470229.26937394956,830474.9928076693,1
LS_00726,80.72294413248699,7.506515502929687,469432.96401100093,829752.6685776178,1
LS_00727,80.68571066856384,7.476890563964844,465322.68819306267,826480.3851697933,1
LS_00729,80.73804622226291,7.44932746887207,471095.39809001994,823429.5091702021,1
LS_00731,80.72914004325867,7.445343017578125,470112.39224087336,822989.620915286,1
LS_00732,80.72616147994995,7.425601959228516,469782.3752230998,820807.4520324605,1
LS_00733,80.67742681503296,7.433176040649414,464405.1445275013,821648.3864984063,1
LS_00734,80.57511196136474,7.430171966552734,453114.55220899946,821325.8088960273,1
LS_00735,80.58714616298676,7.437583923339844,454443.286146152,822143.955761868,1
LS_00736,80.68782301930909,8.066608511327221,465603.7926998665,891674.6861287192,1
LS_00738,80.38659428650479,7.93372917175293,432391.06696098135,877021.4751480167,1
LS_00739,80.4246678352356,7.75471305847168,436560.5104948606,857224.138026147,1
LS_00740,80.52242897273777,7.7180633544921875,447335.94589531474,853159.0053248593,1
LS_00741,80.70362754761072,7.755289675098206,467320.6758511033,857256.3098422477,1
LS_00742,80.73126999537149,7.608530044555664,470358.50385405455,841029.8484408198,1
LS_00743,80.72527281443277,7.607919692993164,469696.95422095,840962.7890098201,1
LS_00746,80.72177440098355,7.613288879394531,469311.44991451036,841556.6032976427,1
LS_00747,80.75984989513051,7.627031326293945,473512.0835754855,843073.3207345004,1
LS_00748,80.70978705088297,7.607723236083983,467988.81020676054,840942.1854373442,1
LS_00750,80.70607606349353,7.61233993544924,467579.8225952226,841452.842080109,1
LS_00751,80.71580998102823,7.617454528808594,468653.86620210414,842017.5472211282,1
LS_00753,80.6948053571913,7.612249374389648,466336.63133417704,841443.6914869957,1
LS_00756,80.6711903933821,7.623472213745117,463732.78702344635,842686.3003146122,1
