landslide_id,status,scene_id,scene_cloud,patch_cloud,acquisition_date,window_used,tif_path,png_path,error
LS_00467,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00467.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00467.png,
LS_00468,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00468.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00468.png,
LS_00469,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00469.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00469.png,
LS_00470,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00470.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00470.png,
LS_00471,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00471.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00471.png,
LS_00472,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00472.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00472.png,
LS_00473,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,1.17,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00473.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00473.png,
LS_00475,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00475.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00475.png,
LS_00476,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00476.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00476.png,
LS_00478,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00478.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00478.png,
LS_00481,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00481.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00481.png,
LS_00483,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00483.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00483.png,
LS_00487,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00487.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00487.png,
LS_00489,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00489.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00489.png,
