landslide_id,status,scene_id,scene_cloud,patch_cloud,acquisition_date,window_used,tif_path,png_path,error
LS_00063,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00063.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00063.png,
LS_00064,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00064.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00064.png,
LS_00065,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00065.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00065.png,
LS_00066,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00066.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00066.png,
LS_00067,success,S2C_MSIL2A_20251202T050611_R076_T44NMP_20251202T072408,13.010658,0.0,2025-12-02,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00067.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00067.png,
LS_00068,success,S2C_MSIL2A_20251202T050611_R076_T44NMP_20251202T072408,13.010658,0.0,2025-12-02,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00068.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00068.png,
LS_00069,success,S2C_MSIL2A_20251202T050611_R076_T44NMP_20251202T072408,13.010658,0.0,2025-12-02,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00069.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00069.png,
LS_00070,success,S2C_MSIL2A_20251202T050611_R076_T44NMP_20251202T072408,13.010658,0.0,2025-12-02,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00070.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00070.png,
LS_00071,success,S2C_MSIL2A_20251202T050611_R076_T44NMP_20251202T072408,13.010658,0.0,2025-12-02,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00071.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00071.png,
LS_00072,success,S2C_MSIL2A_20251202T050611_R076_T44NMP_20251202T072408,13.010658,7.62,2025-12-02,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00072.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00072.png,
